date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:07:23	24180/24180	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/posts/2015-01-Visualizing-Representations/img/fig.png	colah.github.io/posts/2015-01-Visualizing-Representations/img/fig.png	(from http://colah.github.io/)
21:07:40	311844/311844	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/images/post-covers/upsample.png	colah.github.io/images/post-covers/upsample.png	(from http://colah.github.io/)
21:08:04	213666/213666	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/images/post-covers/inceptionism.png	colah.github.io/images/post-covers/inceptionism.png	(from http://colah.github.io/)
21:08:14	171010/171010	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/images/post-covers/handwriting.png	colah.github.io/images/post-covers/handwriting.png	(from http://colah.github.io/)
21:08:19	16519/16519	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/images/post-covers/DataList.png	colah.github.io/images/post-covers/DataList.png	(from http://colah.github.io/)
21:08:25	31191/31191	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/images/post-covers/entropy.png	colah.github.io/images/post-covers/entropy.png	(from http://colah.github.io/)
21:08:55	143876/143876	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/images/post-covers/parvecs.png	colah.github.io/images/post-covers/parvecs.png	(from http://colah.github.io/)
21:09:06	58438/58438	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/images/post-covers/tensorflow.png	colah.github.io/images/post-covers/tensorflow.png	(from http://colah.github.io/)
21:09:10	10099/10099	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/images/post-covers/safety.png	colah.github.io/images/post-covers/safety.png	(from http://colah.github.io/)
21:10:07	298520/298520	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/images/post-covers/acgan.png	colah.github.io/images/post-covers/acgan.png	(from http://colah.github.io/)
21:10:10	29145/29145	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/bootstrap/js/bootstrap.min.js	colah.github.io/bootstrap/js/bootstrap.min.js	(from http://colah.github.io/)
21:10:22	109387/109387	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/highlight/highlight.pack.js	colah.github.io/highlight/highlight.pack.js	(from http://colah.github.io/)
21:10:24	2025/2025	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/js/footnotes.js	colah.github.io/js/footnotes.js	(from http://colah.github.io/)
21:10:26	7814/7814	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/js/inlineDisqussions.js	colah.github.io/js/inlineDisqussions.js	(from http://colah.github.io/)
21:10:27	27084/27084	---M-Z	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/posts/2015-08-Backprop/	colah.github.io/posts/2015-08-Backprop/index.html	(from http://colah.github.io/)
21:10:49	99070/99070	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/fonts/Serif/cmunrm.eot	colah.github.io/fonts/Serif/cmunrm.eot	(from http://colah.github.io/fonts/Serif/cmun-serif.css)
21:10:50	1714053/1714053	---M--	200	added ('OK')	image/png	date:Tue,%2023%20Jan%202018%2017:13:57%20GMT	http://colah.github.io/images/post-covers/research-debt.png	colah.github.io/images/post-covers/research-debt.png	(from http://colah.github.io/)
